城市中文名称,城市英文名称,城市拼音,城市拼音缩写,机场三字码,国家名称,所属洲,国家英文名
阿布贾,Abuja,abujia,ABJ,ABV,尼日利亚,国际,Nigeria
阿伯丁,Aberdeen,ABoDing,ABD,ABZ,英国,欧洲,UK
阿比让,Abidjan,abirang,ABR,ABJ,科特迪瓦,国际,IvoryCoast(Coted'Ivoire)
阿德莱德,Adelaide,Adelaide,ADLD,ADL,澳大利亚,大洋洲,Australia
阿克拉,Accra,akela,AKL,ACC,加纳,国际,Ghana
阿克苏,AKeSu,AKeSu,AKS,AKU,中国,亚洲,China
阿尔及尔,Algiers,aerjier,AEJE,ALG,阿尔及利亚,国际,Algeria
阿拉木图,Alma-Ata,ALaMuTu,almt,ALA,哈萨克斯坦,亚洲,Kazakhstan
阿勒泰,ALeTai,ALeTai,ALT,AAT,中国,亚洲,China
阿姆利则,Amritsar,amulize,AMLZ,ATQ,印度,亚洲,India
阿姆斯特丹,Amsterdam,AMuSiTeDan,amstd,AMS,荷兰,欧洲,Netherlands
阿皮亚,Apia,Apiya,APY,APW,西萨摩亚,大洋洲,WesternSamoa
阿斯塔纳,Astana,ASiTaNa,ASTN,TSE,哈萨克斯坦,亚洲,Kazakhstan
阿什哈巴德,Ashkhabad,AShenHaBaDe,ashbd,ASB,土库曼斯坦,亚洲,Turkmenistan
爱丁堡,Edinburgh,AiDingBao,adb,EDI,苏格兰,欧洲,Scotland
爱德蒙顿,Edmonton,Aidemengdun,ADMD,YEG,加拿大,北美,Canada
埃默拉尔德,Emerald,Aimolaerde,AMLED,EMD,澳大利亚,大洋洲,Australia
安康,AnKang,AnKang,AK,AKA,中国,亚洲,China
安庆,AnQing,AnQing,AQ,AQG,中国,亚洲,China
安曼,Amman,anman,AM,AMM,约旦,亚洲,Jordan
鞍山,AnShan,AnShan,AS,AOG,中国,亚洲,China
奥克兰,Auckland,Aokelan,AKL,AKL,新西兰,大洋洲,NewZealand
奥什,Osh,AoShen,as,OSS,吉尔吉斯斯坦,亚洲,Krygyzstan
奥兰多,Orlando,AoLanDuo,ald,MCO,美国,北美,USA
奥斯陆,Oslo,Aosilu,OSL,OSL,挪威,欧洲,Norway
澳门,Macau,AoMen,AM,MFM,中国,亚洲,ChinaLand
巴库,Baku,BaKu,bk,GYD,阿塞拜疆,亚洲,Azerbaijan
巴黎,Paris,BaLi,bl,CDG,法国,欧洲,France
巴厘岛,DenpasarBali,balidao,BLD,DPS,印度尼西亚,亚洲,Indonesia
巴林,Bahrain,balin,BL,BAH,巴林,亚洲,Bahrain
巴邻旁,Palembang,balinpang,BLP,PLM,印度尼西亚,亚洲,Indonesia
巴特那,Patna,batena,BTN,PAT,印度,亚洲,India
巴伦西亚,Valencia,balunxiya,BLXY,VLC,西班牙,欧洲,Spain
巴塞罗那,Barcelona,BaSaiLuoNa,bsln,BCN,西班牙,欧洲,Spain
保山,BaoShan,BaoShan,BS,BSD,中国,亚洲,China
包头,BaoTou,BaoTou,BT,BAV,中国,亚洲,China
惠州,HuiZhou,huizhou,HZ,HUZ,中国,亚洲,China
北京,BeiJing,BeiJing,BJ,PEK,中国,亚洲,China
北海,BeiHai,BeiHai,BH,BHY,中国,亚洲,China
班加罗尔,Bengaluru,banjiailuoer,BJLE,BLR,印度,亚洲,India
班达伯格,Bundaberg,Bandaboge,BDBG,BDB,澳大利亚,大洋洲,Australia
贝尔法斯特,Belfast,BeiErFaSiTe,BEFST,BFS,爱尔兰,欧洲,Ireland
贝尔格莱德,Belgrade,beiergelaide,BEGLD,BEG,塞尔维亚,欧洲,Serbia
贝鲁特,Beirut,beilute,BLT,BEY,黎巴嫩,亚洲,Lebanon
比萨,Pisa,bisa,BS,PSA,意大利,欧洲,Italy
比什凯克,Bishkek,BiShenKaiKe,bskk,FRU,吉尔吉斯斯坦,亚洲,Kyrgyz
毕节,BiJie,BiJie,BJ,BFJ,中国,亚洲,China
北九州,Kitakyushu,BeiJiuZhou,bjz,KKJ,日本,亚洲,Japan
槟城,Penang,BinCheng,bc,PEN,马来群岛,亚洲,Malaysia
波尔图,Porto,boertu,BET,OPO,葡萄牙,欧洲,Portugal
伯明翰,Birmingham,BoMingHan,bmh,BHX,英国,欧洲,UK
博乐,Bole,Bole,BL,BPL,中国,亚洲,China
博洛尼亚,Bologna,boluoniya,BLNY,BLQ,意大利,欧洲,Italy
柏林,Berlin,BoLin,bl,BER,德国,欧洲,Germany
波特兰,Portland,Botelan,BTL,PDX,美国,北美,UnitedStates
波士顿,Boston,BoShiDun,bsd,BOS,美国,北美,USA
布拉格,Prague,bulage,BLG,PRG,捷克,欧洲,CzechRepublic
布鲁塞尔,Brussels,BuLuSaiEr,blse,BRU,比利时,欧洲,Belgium
长白山,ChangBaiShan,ChangBaiShan,CBS,NBS,中国,亚洲,China
昌迪加尔,Chandigarh,changdijiaer,CDJE,IXC,印度,亚洲,India
昌都,ChangDu,ChangDu,CD,BPX,中国,亚洲,China
长春,ChangChun,ChangChun,CC,CGQ,中国,亚洲,China
常德,ChangDe,ChangDe,CD,CGD,中国,亚洲,China
长崎,Nagasaki,changqi,CQ,NGS,日本,亚洲,Japan
长沙,ChangSha,ChangSha,CS,CSX,中国,亚洲,China
长治,ChangZhi,ChangZhi,CZ,CIH,中国,亚洲,China
常州,ChangZhou,ChangZhou,CZ,CZX,中国,亚洲,China
朝阳,ZhaoYang,ZhaoYang,ZY,CHG,中国,亚洲,China
成都,ChengDu,ChengDu,CD,CTU,中国,亚洲,China
赤峰,ChiFeng,ChiFeng,CF,CIF,中国,亚洲,China
重庆,ChongQing,ChongQing,CQ,CKG,中国,亚洲,China
冲绳,Okinawa,chongsheng,CS,OKA,日本,亚洲,Japan
大阪,Osaka,DaBan,db,KIX,日本,亚洲,Japan
大理,DaLi,DaLi,DL,DLU,中国,亚洲,China
大邱,Taegu,DaQiu,dq,TAE,韩国,亚洲,SouthKorea
达卡,Dhaka,Daka,DK,DAC,孟加拉国,亚洲,Bangladesh
达喀尔,Dakar,dakaer,DKE,DKR,塞内加尔,国际,Senegal
达拉斯--奥斯堡,Dallas/FortWorth,Dalasiaosibao,DLSASB,DFW,美国,北美,UnitedStates
达累斯萨拉姆,DarEsSalaam,daleisisalamu,DLSSLM,DAR,坦桑尼亚,国际,Tanzania
大连,DaLian,DaLian,DL,DLC,中国,亚洲,China
大庆,DaQing,DaQing,DQ,DQA,中国,亚洲,China
大同,DaTong,DaTong,DT,DAT,中国,亚洲,China
丹东,DanDong,DanDong,DD,DDG,中国,亚洲,China
丹佛,Denver,Danfo,DF,DEN,美国,北美,UnitedStates
旦尼丁,Dunedin,Danniding,DND,DUD,新西兰,大洋洲,NewZealand
达曼,Dammam,daman,DM,DMM,沙竺阿拉伯,亚洲,SaudiArabia
达县,DaXian,DaXian,DX,DAX,中国,亚洲,China
德班,Durban,deban,DB,DUR,南非,国际,SouthAfrica
德里,Delhi,DeLi,dl,DEL,印度,亚洲,India
德阳,Deyang,DeYang,DY,DEY,中国,亚洲,China
德宏芒市,DeHongMangShi,DeHongMangShi,DHMS,LUM,中国,亚洲,China
德黑兰,Teheran,DeHeiLan,dhl,IKA,伊朗,亚洲,Iran
迪拜,Dubai,DiBai,db,DXB,阿拉伯联合酋长国,亚洲,UnitedArabEmirates
迪庆,DiQing,DiQing,DQ,DIG,中国,亚洲,China
第比利斯,Tbilisi,dibilisi,DBLS,TBS,格鲁吉亚,欧洲,Georgia
底特律,Detroit,Detelv,DTL,DTT,美国,北美,UnitedStates
东加大埔,"Tongatapu TongaIsl",Dongjiadafu,DJDF,TBU,汤加,大洋洲,Tonga
东莞,Dongguan,Dongguan,DG,DDB,中国,亚洲,China
东京,Tokyo,DongJing,dj,TYO,日本,亚洲,Japan
东营,DongYing,DongYing,DY,DOY,中国,亚洲,China
敦煌,DunHuang,DunHuang,DH,DNH,中国,亚洲,China
都柏林,Dublin,dubolin,DBL,DUB,爱尔兰,欧洲,Ireland
多伦多,Toronto,Duolunduo,DLD,YTO,加拿大,北美,Canada
杜尚别,Dushanbe,DuShangBie,dsb,DYU,塔吉克斯坦,亚洲,Tajikistan
杜阿拉,Douala,duala,DAL,DLA,喀麦隆,国际,Cameroon
杜塞尔多夫,Dusseldorf,DuSaiErDuoFu,dsedf,DUS,德国,欧洲,Germany
多哈,Doha,duoha,DH,DOH,卡塔尔,亚洲,Qatar
恩德培,Entebbe/Kampala,endepei,EDP,EBB,乌干达,国际,Uganda
恩施,EnShi,EnShi,ES,ENH,中国,亚洲,China
鄂尔多斯,EErDuoSi,EErDuoSi,EEDS,DSN,中国,亚洲,China
法兰克福,Frankfurt,FaLanKeFu,flkf,FRA,德国,欧洲,Germany
费城,Philadelphia,Feicheng,FC,PHL,美国,北美,UnitedStates
佛山,Foshan,Foshan,FS,FUO,中国,亚洲,China
符拉迪沃斯托克,Vladivostok,FuLaDiWoSiTuoKe,fldwstk,VVO,俄罗斯,欧洲,Russia
福岛,Fukushima,fudao,FD,FKS,日本,亚洲,Japan
福冈,Fukuoka,FuGang,fg,FUK,日本,亚洲,Japan
福州,FuZhou,FuZhou,FZ,FOC,中国,亚洲,China
富山,Toyama,FuShan,fs,TOY,日本,亚洲,Japan
釜山,Pusan,FuShan,fs,PUS,韩国,亚洲,SouthKorea
阜阳,FuYang,FuYang,FY,FUG,中国,亚洲,China
哥打基纳巴卢,KOTAKINABALU,GeDaJiNaBaLu,gdjnbl,BKI,马来西亚,亚洲,Malaysia
歌德堡,Goteborg,gedebao,GDB,GOT,瑞典,欧洲,Sweden
哥伦布,Columbus,Gelunbu,GLB,CMH,美国,北美,UnitedStates
哥本哈根,Copenhagen,GeBenHaGen,gbhg,CPH,丹麦,欧洲,Denmark
哥打巴鲁,KotaBharu,gedabalu,GDBL,KBR,马来西亚,亚洲,Malaysia
古晋,Kuching,gujing,GJ,KCH,马来西亚,亚洲,Malaysia
光州,Kwangju,GuangZhou,gz,KWJ,韩国,亚洲,SouthKorea
关岛,Guam,Guandao,GD,GUM,美国,北美,UnitedStates
关丹,Kuantan,guandan,GD,KUA,马来西亚,亚洲,Malaysia
瓜拉丁加奴,KualaTerengganu,gualadingjianv,GLDJN,TGG,马来西亚,亚洲,Malaysia
广州,GuangZhou,GuangZhou,GZ,CAN,中国,亚洲,China
广岛,Hiroshima,GuangDao,gd,HIJ,日本,亚洲,Japan
广元,GuangYuan,GuangYuan,GY,GYS,中国,亚洲,China
广汉,GuangHan,GuangHan,GH,GHN,中国,亚洲,China
赣州,GanZhou,GanZhou,GZ,KOW,中国,亚洲,China
格尔木,GeErMu,GeErMu,GEM,GOQ,中国,亚洲,China
格拉德斯通,Gladstone,Geladesitong,GLDST,GLT,澳大利亚,大洋洲,Australia
格拉斯哥,Glasgow,GeLaSiGe,GLSG,GLA,英国,欧洲,UK
桂林,GuiLin,GuiLin,GL,KWL,中国,亚洲,China
贵阳,GuiYang,GuiYang,GY,KWE,中国,亚洲,China
哈尔滨,Harbin,HaErBin,HEB,HRB,中国,亚洲,China
哈巴罗夫斯克市,Khabarovsk,HaBaLuoFuSiKeShi,hblfsks,KHV,俄罗斯,欧洲,Russia
哈拉雷,Harare,halalei,HLL,HRE,津巴布韦,国际,Zimbabwe
哈密,HaMi,HaMi,HM,HMI,中国,亚洲,China
哈密尔顿,Hamilton,Hamierdun,HMED,HLZ,加拿大,北美,Canada
哈科特港,PortHarcourt,haketegang,HKTG,PHC,尼日利亚,国际,Nigeria
哈特福德,Hartford,HaTeFuDe,htfd,BDL,美国,北美,USA
海口,HaiKou,HaiKou,HK,HAK,中国,亚洲,China
海拉尔,HaiLaEr,HaiLaEr,HLE,HLD,中国,亚洲,China
海得拉巴,Hyderabad,haidelaba,HDLB,HYD,印度,亚洲,India
海参崴,Vladivostok,HaiShenWai,HSW,VVO,俄罗斯,欧洲,Russia
邯郸,HanDan,HanDan,HD,HDG,中国,亚洲,China
汉中,HanZhong,HanZhong,HZ,HZG,中国,亚洲,China
汉堡,Hamburg,HanBao,hb,HAM,德国,欧洲,Germany
汉密尔顿岛,HamiltonIsland,Hanmierdundao,HMEDD,HTI,澳大利亚,大洋洲,Australia
杭州,HangZhou,HangZhou,HZ,HGH,中国,亚洲,China
赫尔辛基,Helsinki,HeErXinJi,hexj,HEL,芬兰,欧洲,Finland
霍巴特,Hobart,Huobate,HBT,HBA,澳大利亚,大洋洲,Australia
合肥,HeFei,HeFei,HF,HFE,中国,亚洲,China
和田,HeTian,HeTian,HT,HTN,中国,亚洲,China
黑河,HeiHe,HeiHe,HH,HEK,中国,亚洲,China
河内,Hanoi,HeNei,hn,HAN,越南,亚洲,Vietnam
衡阳,HengYang,HengYang,HY,HNY,中国,亚洲,China
呼和浩特,HuHeHaoTe,HuHeHaoTe,HHHT,HET,中国,亚洲,China
华沙,Warsaw,HuaSha,hs,WAW,波兰,欧洲,Poland
华盛顿,Washington,Huashengdun,HSD,WAS,美国,北美,UnitedStates
怀化,HuaiHua,HuaiHua,HH,HJJ,中国,亚洲,China
黄金海岸,GoldCoast,Huangjinhaian,HJHA,OOL,澳大利亚,大洋洲,Australia
黄果树,HuangGuoShu,HuangGuoShu,HGS,AVA,中国,亚洲,China
黄山,HuangShan,HuangShan,HS,TXN,中国,亚洲,China
黄岩,HuangYan,HuangYan,HY,HYN,中国,亚洲,China
惠阳,HuiYang,HuiYang,HY,AHE,中国,亚洲,China
惠灵顿,Wellington,Huilingdun,HLD,WLG,新西兰,大洋洲,NewZealand
火奴鲁鲁,Honolulu,HuoNuLuLu,hnll,HNL,美国,北美,USA
胡占德,Khujand,Huzhande,HZD,LBD,塔吉克斯坦,亚洲,Tajikistan
静冈,Shizuoka,JingGang,JG,FSZ,日本,亚洲,Japan
吉安,JiAn,JiAn,JA,KNC,中国,亚洲,China
济南,JiNan,JiNan,JN,TNA,中国,亚洲,China
济宁,JiNing,JiNing,JN,JNG,中国,亚洲,China
吉达,Jeddah,JiDa,jd,JED,沙特阿拉伯,亚洲,SaudiArabia
吉林,JiLin,JiLin,JL,JIL,中国,亚洲,China
吉布提,Djibouti,jibuti,JBT,JIB,吉布提,国际,Djibouti
吉隆坡,KualaLumpur,JiLongPo,jlp,KUL,马来群岛,亚洲,Malaysia
贾巴尔普尔,Jabalpur,jiabaerpuer,JBEPE,JLR,印度,亚洲,India
加德满都,Kathmandu,JiaDeManDu,JDMD,KTM,尼泊尔,亚洲,Russia
加尔各答,Calcutta,jiaergeda,JEGD,CCU,印度,亚洲,India
基加利,Kigali,jijiali,JJL,KGL,卢旺达,国际,Rwanda
基督城,Christchurch,Jiducheng,JDC,CHC,新西兰,大洋洲,NewZealand
基辅,Kiev,Jifu,jf,KBP,乌克兰,欧洲,Ukraine
基隆拿,Kelowna,JiLongNa,JLN,YLW,加拿大,北美,Canada
佳木斯,JiaMuSi,JiaMuSi,JMS,JMU,中国,亚洲,China
嘉峪关,JiaYuGuan,JiaYuGuan,JYG,JGN,中国,亚洲,China
江门,Jiangmen,Jiangmen,JM,JBD,中国,亚洲,China
捷克逊维尔,Jacksonville,JieKeXunWeiEr,jkxwe,JAX,美国,北美,USA
揭阳,JieYang,JieYang,JY,SWA,中国,亚洲,China
九寨沟,JiuZhaiGou,JiuZhaiGou,JZG,JZH,中国,亚洲,China
旧金山,SanFrancisco,Jiujinshan,JJS,SFO,美国,北美,UnitedStates
晋江,JinJiang,JinJiang,JJ,JJN,中国,亚洲,China
金边,PhnomPenh,JinBian,jb,PNH,柬埔寨,亚洲,Kampuchea
金门,Kinmen,jinmen,JM,KNH,台湾,亚洲,Taiwan
金奈,Madras,jinnai,JN,MAA,印度,亚洲,India
金沙萨,Kinshasa,jinshasa,JSS,FIH,刚果民主共和国,国际,DemocraticRepublicoftheCongo
锦州,JinZhou,JinZhou,JZ,JNZ,中国,亚洲,China
景德镇,JingDeZhen,JingDeZhen,JDZ,JDZ,中国,亚洲,China
井冈山,Jinggangshan,jinggangshan,JGS,JGS,中国,亚洲,China
济州,Cheju,JiZhou,jz,CJU,韩国,亚洲,SouthKorea
荆州,JingZhou,JingZhou,JZ,SHS,中国,亚洲,China
九江,JiuJiang,JiuJiang,JJ,JIU,中国,亚洲,China
卡诺,Kano,kanuo,KN,KAN,尼日利亚,国际,Nigeria
卡萨布兰卡,Casablanca,kasabulanka,KSBLK,CAS,摩洛哥,国际,Morocco
卡尔加里,Calgary,KaErJiaLi,KEJL,YYC,加拿大,北美,Canada
喀布尔,Kabul,kabuer,KBE,KBL,阿富汗,亚洲,Afghanistan
喀什,KaShi,KaShi,KS,KHG,中国,亚洲,China
喀土穆,Khartoum,katumu,KTM,KRT,苏丹,国际,Sudan
喀纳斯,KaNaSi,KaNaSi,KNS,KJI,中国,亚洲,China
堪培拉,Canberra,kanpeila,kpl,CBR,澳大利亚,大洋洲,Australia
凯恩斯,Cairns,Kaiensi,kns,CNS,澳大利亚,大洋洲,Australia
开罗,Cairo,kailuo,KL,CAI,埃及,国际,Egypt
开普敦,CapeTown,kaipudun,KPD,CPT,南非,国际,SouthAfrica
科隆,Cologne-Bonn,kelong,KL,CGN,德国,欧洲,Germany
科伦坡,Colombo,kelunpo,KLP,CMB,斯里兰卡,亚洲,SriLanka
科威特,Kuwait,keweite,KWT,KWI,科威特,亚洲,Kuwait
科托努,Cotonou,ketuonu,KTN,COO,贝宁,国际,Benin
克拉克,Clark,KeLaKe,klk,CRK,印尼,亚洲,Indonesia
克拉科夫,Krakow,kelakefu,KLKF,KRK,波兰,欧洲,Poland
克拉玛依,Karamay,Kelamayi,KLMY,KRY,中国,亚洲,China
克利夫兰,Cleveland,KeLiFuLan,klfl,CLE,美国,北美,USA
库尔勒,KuErLe,KuErLe,KEL,KRL,中国,亚洲,China
库车,KuChe,KuChe,KC,KCA,中国,亚洲,China
昆明,KunMing,KunMing,KM,KMG,中国,亚洲,China
拉萨,LaSa,LaSa,LS,LXA,中国,亚洲,China
赖布尔,Raipur,laibuer,LBE,RPR,印度,亚洲,India
拉各斯,Lagos,LaGeSi,lgs,LOS,尼日利亚,国际,Nigeria
拉罗汤加,"Rarotonga CookIs.",Laluotangjia,LSTJ,RAR,库克群岛,大洋洲,CookIslands
拉纳卡,Larnaca,lanaka,LNK,LCA,塞浦路斯,欧洲,Cyprus
拉斯维加斯,LasVegas,Lasiweijiasi,LSWJS,LAS,美国,北美,UnitedStates
兰契,Ranchi,lanqi,LQ,IXR,印度,亚洲,India
兰州,LanZhou,LanZhou,LZ,LHW,中国,亚洲,China
兰卡威,Langkawi,lankawei,LKW,LGK,马来西亚,亚洲,Malaysia
丽江,LiJiang,LiJiang,LJ,LJG,中国,亚洲,China
荔波,LiBo,LiBo,LB,LLB,中国,亚洲,China
黎平,LiPing,LiPing,LP,HZH,中国,亚洲,China
里昂,Lyon,liang,LA,LYS,法国,欧洲,France
里加,Riga,lijia,LI,RIX,拉脱维亚,欧洲,Latvia
里贾纳,Regina,LiJiaNa,LJN,YQR,加拿大,北美,Canada
里斯本,Lisbon,LiSiBen,lsb,LIS,葡萄牙,欧洲,Portugal
里雅恩姆卡拉,"Riyan Yemen",liyaenmukala,LYEMKL,RIY,也门,亚洲,Yemen
利伯维尔,Libreville,liboweier,LBWE,LBV,加蓬,国际,Gabon
利马,Lima,LiMa,lm,LIM,秘鲁,北美,Peru
利雅得,Riyadh,liyade,LYD,RUH,沙竺阿拉伯,亚洲,SaudiArabia
连云港,LianYunGang,LianYunGang,LYG,LYG,中国,亚洲,China
梁平,LiangPing,LiangPing,LP,LIA,中国,亚洲,China
列城,Leh,liecheng,LC,IXL,印度,亚洲,India
圣彼得堡,St.Petersburg,shengbidebao,LNGL,LED,俄罗斯,欧洲,RussianFederation
罗安达,Luanda,luoanda,LAD,LAD,安哥拉,国际,Angola
罗德岱堡,Lauderdale,LuoDeDaiBao,lddb,FLL,美国,北美,USA
罗利,Raleigh/Durham,Luoli,LL,RDU,美国,北美,UnitedStates
罗克汉普顿,Rockhampton,Luokehandunpu,LKHPD,ROK,澳大利亚,大洋洲,Australia
罗马,Rome,LuoMa,lm,FCO,意大利,欧洲,Italy
洛杉矶,LosAngeles,LuoShanJi,lsj,LAX,美国,北美,USA
卢布尔亚那,Ljubljana,lubueryana,LBEYN,LJU,斯洛文尼亚,欧洲,Slovenia
卢萨卡,Lusaka,lusaka,LSK,LUN,赞比亚,国际,Zambia
卢森堡,Luxembourg,lusenbao,LSB,LUX,卢森堡,欧洲,Luxembourg
伦敦,London,LunDun,ld,LHR,英国,欧洲,England
临沂,LinYi,LinYi,LY,LYI,中国,亚洲,China
临沧,LinCang,LinCang,LC,LNJ,中国,亚洲,China
柳州,LiuZhou,LiuZhou,LZ,LZH,中国,亚洲,China
鹿儿岛,Kagoshima,LuErDao,led,KOJ,日本,亚洲,Japan
泸州,LuZhou,LuZhou,LZ,LZO,中国,亚洲,China
洛阳,LuoYang,LuoYang,LY,LYA,中国,亚洲,China
曼谷,Bangkok,ManGu,mg,BKK,泰国,亚洲,Thailand
马德里,Madrid,MaDeLi,mdl,MAD,西班牙,欧洲,Spain
马拉加,Malaga,malajia,MLJ,AGP,西班牙,欧洲,Spain
马斯喀特,Muscat,masikate,MSKT,MCT,阿曼,亚洲,Oman
马尼拉,Manila,MaNiLa,mnl,MNL,菲律宾,亚洲,Philippines
马累,Male,Male,ML,MLE,马尔代夫,亚洲,Maldives
马赛,Marseille,masai,MS,MRS,法国,欧洲,France
迈阿密,Miami,Maiami,MAM,MIA,美国,北美,UnitedStates
麦凯,Mackay,Maikai,MK,MKY,澳大利亚,大洋洲,Australia
麦克默里堡,FortMcmurray,MaiKeMoLiBao,MKMLB,YMM,加拿大,北美,Canada
曼彻斯特,Manchester,ManCheSiTe,mcst,MAN,英国,欧洲,UK
满洲里,ManZhouLi,ManZhouLi,MZL,NZH,中国,亚洲,China
芒特艾萨,MountIsa,Mangteaisa,MTAS,ISA,澳大利亚,大洋洲,Australia
梅县,MeiXian,MeiXian,MX,MXZ,中国,亚洲,China
墨尔本,Melbourne,MoErBen,meb,MEL,澳大利亚,大洋洲,Australia
莫尔斯比港,PortMoresby,Moersibigang,MESBG,POM,澳大利亚,大洋洲,Australia
漠河,MoHe,MoHe,MH,OHE,中国,亚洲,China
莫斯科,Moscow,MoSiKe,msk,MOW,俄罗斯,欧洲,Russia
米尔迪拉,Mildura,Mierdila,MEDL,MQL,澳大利亚,大洋洲,Australia
密尔沃基,Milwaukee,Mierwoji,MEWJ,MKE,美国,北美,UnitedStates
米兰,Milan,MiLan,ml,MXP,意大利,欧洲,Italy
绵阳,MianYang,MianYang,MY,MIG,中国,亚洲,China
棉兰,Medan,mianlan,ML,MES,印度尼西亚,亚洲,Indonesia
