城市中文名称,城市英文名称,城市拼音,城市拼音缩写,机场三字码,国家名称,所属洲,国家英文名
名古屋,Nagoya,MingGuWu,mgw,NGO,日本,亚洲,Japan
明斯克,Minsk,mingsike,MSK,MSQ,白俄罗斯,欧洲,Belarus
明尼阿波利斯,Minneapolis,Mingniabolisi,MNABLS,MSP,美国,北美,UnitedStates
蒙特利尔,Montreal,Mengtelier,MTLE,YMQ,加拿大,北美,Canada
孟菲斯,Memphis,MengFeiSi,mfs,MEM,美国,北美,USA
孟买,Mumbai/Bombay,mengmai,MM,BOM,印度,亚洲,India
牡丹江,MuDanJiang,MuDanJiang,MDJ,MDG,中国,亚洲,China
慕尼黑,Munich,MuNiHei,mnh,MUC,德国,欧洲,Germany
纳迪,Nadi,Nadi,ND,NAN,斐济,大洋洲,Fiji
那拉提,NaLaTi,NaLaTi,NLT,NLT,中国,亚洲,China
那格浦尔,Nagpur,nagepuer,NGPE,NAG,印度,亚洲,India
南昌,NanChang,NanChang,NC,KHN,中国,亚洲,China
南充,NanChong,NanChong,NC,NAO,中国,亚洲,China
南海,Nanhai,Nanhai,NH,NFF,中国,亚洲,China
南京,NanJing,NanJing,NJ,NKG,中国,亚洲,China
南宁,NanNing,NanNing,NN,NNG,中国,亚洲,China
南通,NanTong,NanTong,NT,NTG,中国,亚洲,China
南阳,NanYang,NanYang,NY,NNY,中国,亚洲,China
宁波,NingBo,NingBo,NB,NGB,中国,亚洲,China
尼斯,Nice,nisi,NS,NCE,法国,欧洲,France
纽约,NewYork,NiuYue,ny,JFK,美国,北美,USA
纽瓦克,Newark,NiuWaKe,nwk,EWR,美国,北美,USA
纽卡斯尔(澳大利亚),Newcastle(Australia),Niukasier,NKSE,NTL,澳大利亚,大洋洲,Australia
纽卡斯尔(英国),Newcastle(UK),Niukasier,NKSE,NCL,英国,欧洲,UK
内罗毕,Nairobi,neiluobi,NLB,NBO,肯尼亚,国际,Kenya
攀枝花,PanZhiHua,PanZhiHua,PZH,PZI,中国,亚洲,China
浦那,Poona,puna,PN,PNQ,印度,亚洲,India
浦项,Pohang,puxiang,PX,KPO,韩国,亚洲,SouthKorea
珀斯,Perth,posi,PS,PER,澳大利亚,大洋洲,Australia
普吉,Phuket,PuJi,pj,HKT,泰国,亚洲,Thailand
普罗瑟派恩,Proserpine,Puluosepaien,PLSPE,PPP,澳大利亚,大洋洲,Australia
齐齐哈尔,QiQiHaEr,QiQiHaEr,QQHE,NDG,中国,亚洲,China
且末,QieMo,QieMo,QM,IQM,中国,亚洲,China
乔治王子城,princeGeorge,QiaoZhiWangZiCheng,QZWZC,YXS,加拿大,北美,Canada
青岛,QingDao,QingDao,QD,TAO,中国,亚洲,China
清迈,ChiangMai,qingmai,QM,CNX,泰国,亚洲,Thailand
清州,Chongju,QingZhou,qz,CJJ,韩国,亚洲,SouthKorea
庆阳,QingYang,QingYang,QY,IQN,中国,亚洲,China
秦皇岛,QinHuangDao,QinHuangDao,QHD,SHP,中国,亚洲,China
衢州,QuZhou,QuZhou,QZ,JUZ,中国,亚洲,China
泉州,QuanZhou,QuanZhou,QZ,JJN,中国,亚洲,China
黔江,Qianjiang,QianJiang,QJ,JIQ,中国,亚洲,China
日内瓦,Geneva,RiNeiWa,rnw,GVA,瑞士,欧洲,Switzerland
塞班,Saipan,SaiBan,sb,SPN,美国,北美,USA
萨格勒布,Zagreb,sagelebu,SGLB,ZAG,克罗地亚,欧洲,Croatia
萨斯卡通,Sackatoon,SaSiKaTong,SSKT,YXE,加拿大,北美,Canada
萨那,Sana'a,sana,SN,SAH,也门,亚洲,Yemen
沙迦,Sharjah,ShaJia,sj,SHJ,阿拉伯联合酋长国,亚洲,UnitedArabEmirates
汕头,Shantou,shantou,ST,SWA,中国,亚洲,China
上海虹桥,ShangHaiHongQiao,ShangHaiHongQiao,SHHQ,SHA,中国,亚洲,China
上海浦东,ShangHaiPuDong,ShangHaiPuDong,SHPD,PVG,中国,亚洲,China
三亚,SanYa,SanYa,SY,SYX,中国,亚洲,China
沈阳,ShenYang,ShenYang,SY,SHE,中国,亚洲,China
深圳,ShenZhen,ShenZhen,SZ,SZX,中国,亚洲,China
圣地亚哥(美国),SanDiego,Shengdiyage,SDYG,SAN,美国,北美,UnitedStates
圣何塞,SanJose,Shenghesai,SHS,SJC,美国,北美,UnitedStates
苏梅岛,KohSamui,shumeidao,SMD,USM,泰国,亚洲,Thailand
泗水,Surabaya,Surabaya,SS,SUB,印尼,亚洲,Indonesia
沙巴,Sabah,shaba,SB,BKI,马来西亚,亚洲,Malaysia
韶关,ShaoGuan,ShaoGuan,SG,SHG,中国,亚洲,China
鄯善,ShanShan,ShanShan,SS,SXJ,中国,亚洲,China
思茅,SiMao,SiMao,SM,SYM,中国,亚洲,China
斯图加特,Stuttgart,Situjiate,STJT,STR,德国,欧洲,Germany
斯德哥尔摩,Stockholm,SiDeGeErMo,sdgem,STO,瑞典,欧洲,Sweden
波尔多,Bordeaux,BoErDuo,BER,BOD,法国,欧洲,France
斯特拉斯堡,Strasbourg,sitelasibao,STLSB,SXB,法国,欧洲,France
索非亚,Sofia,suofeiya,SFY,SOF,保加利亚,欧洲,Bulgaria
苏黎世,Zurich,SuLiShi,sls,ZRH,瑞典,欧洲,Switzerland
石家庄,ShiJiaZhuang,ShiJiaZhuang,SJZ,SJW,中国,亚洲,China
松山,Matsuyama,songshan,SS,MYJ,日本,亚洲,Japan
首尔仁川,Seoul Incheon,ShouErRenChun,serc,ICN,韩国,亚洲,SouthKorea
顺德,Shunde,Shunde,SD,NDH,中国,亚洲,China
塔城,TaCheng,TaCheng,TC,TCG,中国,亚洲,China
塔什干,Tashkent,TaShenGan,tsg,TAS,乌兹别克斯坦,亚洲,Uzbekistan
塔林,Tallinn,talin,TL,TLL,爱沙尼亚,欧洲,Estonia
塔那那利佛,Antananarivo,tananalifo,TNNLF,TNR,马达加斯加,国际,Madagascar
台北,TaiPei,TaiBei,TB,TPE,中国,亚洲,Taiwan
台山,Taishan,Taishan,TS,THJ,中国,亚洲,China
太原,TaiYuan,TaiYuan,TY,TYN,中国,亚洲,China
台中,Taichung,Taizhong,TZ,RMQ,台湾,亚洲,Taiwan
坦帕,Tampa,TanPa,tp,TPA,美国,北美,USA
汤斯维尔,Townsville,Tangsiweier,TSWE,TSV,澳大利亚,大洋洲,Australia
腾冲,TengChong,TengChong,TC,TCZ,中国,亚洲,China
天津,TianJin,TianJin,TJ,TSN,中国,亚洲,China
铜仁,TongRen,TongRen,TR,TEN,中国,亚洲,China
吐鲁番,TuLuFan,TuLuFan,TLB,TLQ,中国,亚洲,China
突尼斯城,Tunis,tunisicheng,TNSC,TUN,突尼斯,国际,Tunisia
万州,WanZhou,WanZhou,WZ,WXN,中国,亚洲,China
万象,Vientiane,wanxiang,WX,VTE,老挝,亚洲,Laos
万鸦老,Manado,wanyalao,WYL,MDC,印度尼西亚,亚洲,Indonesia
潍坊,WeiFang,WeiFang,WF,WEF,中国,亚洲,China
威海,WeiHai,WeiHai,WH,WEH,中国,亚洲,China
威尼斯,Venice,weinisi,WNS,VCE,意大利,欧洲,Italy
维也纳,Vienna,WeiYeNa,wyn,VIE,奥地利,欧洲,Austria
温哥华,Vancouver,WenGeHua,wgh,YVR,加拿大,北美,Canada
文山,WenShan,WenShan,WS,WNH,中国,亚洲,China
温州,WenZhou,WenZhou,WZ,WNZ,中国,亚洲,China
温尼伯,Winnipeg,WenNiBo,WNB,YWG,加拿大,北美,Canada
梧州,WuZhou,WuZhou,WZ,WUZ,中国,亚洲,China
武汉,WuHan,WuHan,WH,WUH,中国,亚洲,China
乌鲁木齐,Urumqi,WuLuMuQi,WLMQ,URC,中国,亚洲,China
无锡,WuXi,WuXi,WX,WUX,中国,亚洲,China
武夷山,WuYiShan,WuYiShan,WYS,WUS,中国,亚洲,China
渥太华,Ottawa,Wotaihua,WTH,YOW,加拿大,北美,Canada
西昌,XiChang,XiChang,XC,XIC,中国,亚洲,China
西安,XiAn,XiAn,XA,XIY,中国,亚洲,China
西宁,XiNing,XiNing,XN,XNN,中国,亚洲,China
西双版纳,XiShuangBanNa,XiShuangBanNa,XSBN,JHG,中国,亚洲,China
厦门,XiaMen,XiaMen,XM,XMN,中国,亚洲,China
悉尼,Sydney,XiNi,xn,SYD,澳大利亚,大洋洲,Australia
夏洛特,Charlotte,Xialuote,xLT,CLT,美国,北美,UnitedStates
岘港,Danang,XianGang,XG,DAD,越南,亚洲,Vietnam
仙台,Sendai,XianTai,xt,SDJ,日本,亚洲,Japan
暹粒,SiemReap,XianLi,xl,REP,柬埔寨,亚洲,Kampuchea
小松,Komatsu,xiaosong,XS,KMQ,日本,亚洲,Japan
香港,HongKong,XiangGang,XG,HKG,中国,亚洲,ChinaLand
锡林浩特,XiLinHaoTe,XiLinHaoTe,XLHT,XIL,中国,亚洲,China
西雅图,Seattle,Xiyatu,XYT,SEA,美国,北美,UnitedStates
新奥尔良,NewOrleans,Xinaoerliang,XAEL,MSY,美国,北美,UnitedStates
新德里,NewDelhi,XinDeLi,XDL,DEL,印度,亚洲,India
新泻,Niigata,XinXie,xx,KIJ,日本,亚洲,Japan
新加坡,Singapore,XinJiaPo,xjp,SIN,新加坡,亚洲,Singapore
新西伯利亚,Novosibirsk,XinXiBoLiYa,xxbly,OVB,俄罗斯,欧洲,Russia
辛辛那提,Cincinnati,XinXinNaTi,xxnt,CVG,美国,北美,USA
休斯顿,Houston,XiuSiDun,xsd,IAH,美国,北美,USA
兴义,XingYi,XingYi,XY,ACX,中国,亚洲,China
徐州,XuZhou,XuZhou,XZ,XUZ,中国,亚洲,China
襄阳,XiangYang,XiangYang,XY,XFN,中国,亚洲,China
雅典,Athena,YaDian,yd,ATH,希腊,欧洲,Greece
雅加达,Jakarta,YaJiaDa,yjd,CGK,印尼,亚洲,Indonesia
亚特兰大,Atlanta,YaTeLanDa,ytld,ATL,美国,北美,USA
亚的斯亚贝巴,AddisAbaba,yadesiyabeiba,YDSYBB,ADD,埃塞俄比亚,国际,Ethiopia
盐城,YanCheng,YanCheng,YC,YNZ,中国,亚洲,China
盐湖城,SaltLakeCity,YanHuCheng,yhc,SLC,美国,北美,USA
延安,YanAn,YanAn,YA,ENY,中国,亚洲,China
延吉,YanJi,YanJi,YJ,YNJ,中国,亚洲,China
烟台,YanTai,YanTai,YT,YNT,中国,亚洲,China
仰光,Rangoon,YangGuang,yg,RGN,缅甸,亚洲,Burma
扬州,Yangzhou,Yangzhou,YZ,YTY,中国,亚洲,China
宜宾,YiBin,YiBin,YB,YBP,中国,亚洲,China
宜昌,YiChang,YiChang,YC,YIH,中国,亚洲,China
伊尔库茨克,Irkutsk,YiErKuCiKe,yekck,IKT,俄罗斯,欧洲,Russia
伊春,YiChun,YiChun,YC,LDS,中国,亚洲,China
伊宁,YiNing,YiNing,YN,YIN,中国,亚洲,China
伊斯坦布尔,Istanbul,yisitanbuer,YSTBE,IST,土耳其,欧洲,Turkey
义乌,YiWu,YiWu,YW,YIW,中国,亚洲,China
伊斯兰堡,Islamabad,yisilanbao,YSLB,ISB,巴基斯坦,亚洲,Pakistan
永州,YongZhou,YongZhou,YZ,LLF,中国,亚洲,China
榆林,YuLin,YuLin,YL,UYN,中国,亚洲,China
运城,YunCheng,YunCheng,YC,YCU,中国,亚洲,China
银川,YinChuan,YinChuan,YC,INC,中国,亚洲,China
印第安纳波利斯,Indianapolis,Yindiannabolisi,YDANBLS,IND,美国,北美,UnitedStates
约翰内斯堡,Johannesburg,yuehanneisibao,YHNSB,JNB,南非,国际,SouthAfrica
湛江,ZhanJiang,ZhanJiang,ZJ,ZHA,中国,亚洲,China
斋浦尔,Jaipur,zhaipuer,ZPE,JAI,印度,亚洲,India
昭通,ZhaoTong,ZhaoTong,ZT,ZAT,中国,亚洲,China
张家界,ZhangJiaJie,ZhangJiaJie,ZJJ,DYG,中国,亚洲,China
郑州,ZhengZhou,ZhengZhou,ZZ,CGO,中国,亚洲,China
舟山,ZhouShan,Zhoui,ZH,HSN,中国,亚洲,China
珠海,ZhuHai,ZhuHai,ZY,ZUH,中国,亚洲,China
札幌,Sapporo,ZhaHuang,zh,SPK,日本,亚洲,Japan
芝加哥,Chicago,ZhiJiaGe,zjg,ORD,美国,北美,USA
中山,Zhongshan,Zhongshan,ZS,HHS,中国,亚洲,China
遵义,ZunYi,ZunYShan,ZS,ZYI,中国,亚洲,China
池州,ChiZhou,ChiZhou,CZ,JUH,中国,亚洲,China
抚远,FuYuan,FuYuan,FY,FYJ,中国,亚洲,China
鸡西,JiXi,JiXi,JX,JXA,中国,亚洲,China
通辽,TongLiao,TongLiao,TL,TGO,中国,亚洲,China
布里斯班,Brisbane,BuLiSiBan,BLSB,BNE,澳大利亚,大洋洲,Australia
奥斯汀,Austin,AoSiTing,ASD,AUS,美国,北美,USA
纳什维尔,Nashville,NaShenWeiEr,NSWE,BNA,美国,北美,USA
蒙特雷(美),Monterey(USA),MengTeLei,MTL,MRY,美国,北美,USA
卡胡卢伊,Kahului,KaHuLuYi,KHLY,OGG,美国,北美,USA
菲尼克斯,Phoenix,FeiNiKeSi,FNKS,PHX,美国,北美,USA
圣芭芭拉,Santabarbara,ShengBaBaLa,SBBL,SBA,美国,北美,USA
图森,Tucson,TuSen,TS,TUS,美国,北美,USA
弗雷斯诺,Fresno,FuLeiSiNuo,FLSN,FAT,美国,北美,USA
安克雷奇,Anchorage,AnKeLeiQi,AKLQ,ANC,美国,北美,USA
博兹曼,Bozeman,BoZiMan,BZM,BZN,美国,北美,USA
斯波坎,Spokane,SiBoKan,SBK,GEG,美国,北美,USA
堪萨斯城,KanSascity,KanSaSiCheng,KSSC,MCI,美国,北美,USA
萨克拉门托,Sacramento,SaKeLaMenTuo,SKLMT,SMF,美国,北美,USA
梅德福,Medford,MeiDeFu,MDF,MFR,美国,北美,USA
圣罗莎,Santarosa,ShengLuoSha,SLS,STS,美国,北美,USA
瓜达拉哈拉,Guadalajara,GuaDaLaHaLa,GDLHL,GDL,墨西哥,北美,Mexico
坎昆,Cancun,KanKun,KK,CUN,墨西哥,北美,Mexico
圣荷西,Sanjosecabo,ShengHeXi,SHX,SJD,墨西哥,北美,Mexico
曼萨尼略,Manzanillo,ManSaNiLue,MSNL,ZLO,墨西哥,北美,Mexico
墨西哥城,Mexicocity,MoXiGeCheng,MXGC,MEX,墨西哥,北美,Mexico
巴亚尔塔港,Puertoescondido,BaYaErTaGang,BYETG,PVR,墨西哥,北美,Mexico
梅里达,Merida,MeiLiDa,MLD,MID,墨西哥,北美,Mexico
蒙特雷(墨西哥),Monterrey(Mexico),MengTeLei,MTL,MTY,墨西哥,北美,Mexico
库利阿坎,Culiacan,KuLiAKan,KLAK,CUL,墨西哥,北美,Mexico
加拉加斯,Caracas,JiaLaJiaSi,JLJS,CCS,委内瑞拉,南美,Venezuela
圣保罗,Saopaulo,ShengBaoLuo,SBL,GRU,巴西,南美,Brazil
里约热内卢,Riodejaneiro,LiYueReNeiLu,LYRNL,GIG,巴西,南美,Brazil
帕拉马里博,Paramaribo,PaLaMaLiBo,PLMLB,PBM,苏里南,南美,Surinam
巴拿马城,Panamacity,BaNaMaCheng,BNMC,PTY,巴拿马,南美,Panama
波哥大,Bogota,BoGeDa,BGD,BOG,哥伦比亚,南美,Colombia
圣地亚哥(智利),Santiago,ShengDiYaGe,SDYG,SCL,智利,南美,Chile
布宜诺斯艾利斯,Buenosaires,BuYiNuoSiAiLiSi,BYNSALS,EZE,阿根廷,南美,Argentina
査谟,Jammu,ChaMo,CM,IXJ,印度,亚洲,India
勒克瑙,Lucknow,LeKeNao,LKN,LKO,印度,亚洲,India
特里凡得琅,Thiruvananthapura,TeLiFanDeLang,TLFDL,TRV,印度,亚洲,India
瓦拉纳西,Varanasi,WaLaNaXi,WLNX,VNS,印度,亚洲,India
卡利刻特,Kozhikode,KaLiKeTe,KLKT,CCJ,印度,亚洲,India
艾哈迈达巴德,Ahmedabad,AiHaMaiDaBaDe,AHMDBD,AMD,印度,亚洲,India
瓦杜达拉,Vadodara,WaDuDaLa,WDDL,BDQ,印度,亚洲,India
博帕尔,Bhopal,BoPaEr,BPE,BHO,印度,亚洲,India
库奇,Kochi,KuQi,KQ,COK,印度,亚洲,India
印多尔,Indore,YinDuoEr,YDE,IDR,印度,亚洲,India
克久拉霍,Khajuraho,KeJiuLaHuo,KJLH,HJR,印度,亚洲,India
焦特布尔,Jodhpur,JiaoTeBuEr,JTBE,JDH,印度,亚洲,India
乌代布尔,Udaipur,WuDaiBuEr,UDBE,UDR,印度,亚洲,India
斯利那加,Srinagar,SiLiNaJia,SLNJ,SXR,印度,亚洲,India
巴格多格拉,Bagdogra,BaGeDuoGeLa,BGDGL,IXB,印度,亚洲,India
古瓦哈蒂,Guwahati,GuWaHaDi,GWHD,GAU,印度,亚洲,India
芽庄,Nhatrang,YaZhuang,YZ,CXR,越南,亚洲,Vietnam
达尔文,Darwin,DaErWen,DEW,DRW,澳大利亚,大洋洲,Australia
海曼岛,Haymanisland,HaiManDao,HMD,HIS,澳大利亚,大洋洲,Australia
麦夸里港,Portmacquarie,MaiKuaLiGang,MKLG,PQQ,澳大利亚,大洋洲,Australia
科夫斯港,Coffsharbour,KeFuSiGang,KFSG,CFS,澳大利亚,大洋洲,Australia
朗赛斯顿,Launceston,LangSaiSiDun,LSSD,LST,澳大利亚,大洋洲,Australia
纳皮尔,Napier,NaPiEr,NPE,NPE,新西兰,大洋洲,NewZealand
纳尔逊,Nelson,NaErXun,NEX,NSN,新西兰,大洋洲,NewZealand
新普里茅斯,Newplymouth,XinPuLiMaoSi,XPLMS,NPL,新西兰,大洋洲,NewZealand
皇后镇,Queenstown,HuangHouZhen,HHZ,ZQN,新西兰,大洋洲,NewZealand
高雄,Kaohsiung,Gaoxiong,GX,KHH,中国,亚洲,Taiwan
毛里求斯,Mauritius,MAOLIQIUSI,LYG,MRU,毛里求斯,国际,Mauritius
通化,TongHua,TongHua,TH,TNH,中国,亚洲,China
冈山,Okayamao,GangShan,GS,OKJ,日本,亚洲,Japan
巴里巴班,Sepinggan,BaLiBaBan,BLBB,BPN,印度尼西亚,亚洲,Indonesia
纽伦堡,Nuremberg,NiuLunBao,NLB,NUE,德国,欧洲,Germany
汉诺威,Hanover,HanNuoWei,HNW,HAJ,德国,欧洲,Germany
布加勒斯特,Bucharest,BuJiaLeSiTe,BJLST,BUH,罗马尼亚,欧洲,Romania
阳光海岸,SunshineCoast,YangGuangHaiAn,YGHA,MCY,澳大利亚,大洋洲,Australia
吕梁,Lvliang,LvLiang,LL,LLV,中国,亚洲,China
淮安,HuaiAn,huaian,HIA,HIA,中国,亚洲,China
林芝,LinZhi,linzhi,LZY,LZY,中国,亚洲,China
稻城,DaoCheng,daocheng,DCY,DCY,中国,亚洲,China
乌海,WuHai,wuhai,WUA,WUA,中国,亚洲,China
乌兰浩特,Ulanhot,wulanhaote,HLH,HLH,中国,亚洲,China
唐山,TangShan,tangshan,TVS,TVS,中国,亚洲,China
雷克雅未克,Reykjavik,leikeyaweike,REK,REK,冰岛,欧洲,Iceland
布法罗,Buffalo,bufaluo,BUF,BUF,美国,北美,USA
胡志明市,HoChiMinh,HuZhiMingShi,hzms,SGN,越南,亚洲,Vietnam
六盘水,LiuPanShui,LiuPanShui,LPS,LPF,中国,亚洲,China
甲米,Krabi,JiaMi,jm,KBV,泰国,亚洲,Thailand
凯里,KAILI,KAILI,KL,KJH,中国,亚洲,China
茨城,Ibaraki,cicheng,cc,IBR,日本,亚洲,Japan
富蕴,FuYun,fuyun,FY,FYN,中国,亚洲,China
芭提雅,Pattaya,batiya,BTY,UTP,泰国,亚洲,Thailand
日照,RiZhao,rizhao,RZ,RIZ,中国,亚洲,China
临汾,LinFen,linfen,LF,LFQ,中国,亚洲,China
武当山,WuDangShan,wudangshan,WDS,WDS,中国,亚洲,China
石河子,ShiHeZi,shihezi,SHZ,SHF,中国,亚洲,China
富国岛,Phu Quoc,FuGuoDao,FGD,PQC,越南,亚洲,Vietnam
十堰,shiyan,shiyan,SY,WDS,中国,亚洲,China
忻州,XinZhou,xinzhou,XZ,WUT,中国,亚洲,China
马六甲,Malacca,maliujia,MLJ,MKZ,马来西亚,亚洲,Malaysia
五台山,WuTaiShan,wutaishan,WUT,WUT,中国,亚洲,China
泰州,Taizhou,taizhou,YZ,YTY,中国,亚洲,China
首尔金浦,Seoul Gimpo,ShouErJinPu,sejp,GMP,韩国,亚洲,SouthKorea
伏尔加格勒,Volgograd,fuerjiagele,FEJGL,VOG,俄罗斯,欧洲,Russia
加里宁格勒,Kaliningrad,jialininggele,JLNGL,KGD,俄罗斯,欧洲,Russia
索契,Sochi,suoqi,SQ,AER,俄罗斯,欧洲,Russia
韦拉克鲁斯,Veracruz,weilakelusi,WLKLS,VER,墨西哥,北美,Mexico
圣路易斯波托西,San Luis Potosi,shengluyisibotuoxi,SLYSBTX,SLP,墨西哥,北美,Mexico
奇瓦瓦,Chihuahua,qiwawa,QWW,CUU,墨西哥,北美,Mexico
雷恩,Rennes,leien,LE,RNS,法国,欧洲,France
图卢兹,Toulouse,tuluzi,TLZ,TLS,法国,欧洲,France
罗德兹,Rodez,luodezi,LDZ,RDZ,法国,欧洲,France
南特,Nantes,nante,NT,NTE,法国,欧洲,France
那不勒斯,Naples,nabulesi,NBLS,NAP,意大利,欧洲,Italy
热那亚,Genoa,reneiya,RNY,GOA,意大利,欧洲,Italy
佛罗伦萨,Florence,foluolunsa,FLLS,FLR,意大利,欧洲,Italy
匹兹堡,Pittsburgh,pizibao,PZB,PIT,美国,北美,USA
万隆,Bandung,wanlong,WL,BDO,印度尼西亚,亚洲,Indonesia
蒙巴萨,Mombasa,mengbasa,MBS,MBA,肯尼亚,国际,Kenya
蔚山,Ulsan,weishan,WS,USN,韩国,亚洲,SouthKorea
张家口,Zhangjiakou,zhangjiakou,ZJK,ZQZ,中国,亚洲,China
潮州,ChaoZhou,chaozhou,CZ,SWA,中国,亚洲,China
棉兰,Medan,MianLan,ML,KNO,印度尼西,亚洲,Indonesia
乞力马,Kilimanjaro,QiLiMa,QLM,JRO,坦桑尼亚,亚洲,Tanzania
归仁,Qui Nhon,GuiRen,GR,UIH,越南,亚洲,Vietnam
利兹,Leeds,LiZi,LZ,LBA,英国,欧洲,UK
莎车,Shache,shache,SC,QSZ,中国,亚洲,China
松原,Songyuan,songyuan,SY,YSQ,中国,亚洲,China
琼海,Qionghai,qionghai,QH,BAR,中国,亚洲,China
博鳌,Boao,boao,BA,BAR,中国,亚洲,China
百色,Baise,baise,BS,AEB,中国,亚洲,China
荣市,Vinh City,RongShi,RS,VII,越南,亚洲,Vietnam
青莱,Chiang Rai,QingLai,QL,CEI,泰国,亚洲,Thailand